bottler,label_cor,label_dis,feature_value
CBL#Tianjin / 天津,0,2,"[41.4451064397653, 40.8899983430789, 44.053202326568794, 42.6703905710295, 42.925065727778204, 44.585594986233204, 42.551123231588996, 43.8102148826396, 42.542830705496996, 40.9402423360283, 42.5363366716348, 42.7316482877897, 43.21469376467879, 44.106629386714, 45.1997030192405, 46.407356978056, 45.0568567776936, 46.9542525269454, 47.47875531384771, 47.952104537463995, 48.3317408875666, 47.635640949206, 46.8940152806507, 47.2026684230316, 46.3285930553148, 46.25835826590279, 47.652380691858596, 48.235586064212505, 50.1866187897975, 50.749184729067295, 50.7625395383967, 52.7907619325509, 51.1475620839341, 53.8688666127971, 54.5120469768738]"
CBL#Xinjiang / 新疆,0,1,"[29.3629334183865, 27.923734323569498, 31.0954273938659, 33.8110328932315, 31.723515119766002, 31.146977561598295, 32.3309034361631, 30.8135833160926, 33.4383651109654, 31.1679410809283, 31.7079853572098, 29.844696926694798, 34.9149189716792, 33.4613088214431, 33.068183913481604, 33.5007907422846, 34.4199703975424, 34.447823580749, 38.9581164539737, 37.8995509301325, 38.9410759275664, 39.5303697466343, 36.9510206466764, 37.6065460293221, 37.6567298591718, 38.3564648259958, 39.9100798228626, 39.0422676735174, 38.791076834700604, 40.0642339796075, 42.2943064369671, 43.282229524388704, 42.6371533049366, 44.097175905704, 43.9675834679665]"
CBL#Zhanmao / 湛茂,0,2,"[43.17750369679624, 43.88235526800813, 44.877905908848454, 45.142682813446356, 45.355763899893155, 45.683641844043706, 46.129777150368405, 46.13662432830755, 46.454444522999665, 46.34107664381077, 42.8212560161575, 43.6954216263457, 43.7494585909959, 42.4032609395466, 44.8738610425991, 46.7807544172332, 48.502104323920896, 48.479968452793294, 49.44604744840961, 49.26968099028971, 50.0682386151913, 51.7706150260986, 51.6295058902494, 51.060280736756496, 50.0446389064184, 49.4527368696145, 50.1020531409494, 51.9178924643408, 52.533763130553105, 53.5286339718244, 52.73792669077021, 52.760093766652005, 53.62103512094, 52.0036238450804, 53.9727714838536]"
SBL#Anhui / 安徽,2,0,"[58.8438560777748, 57.903079646493595, 58.4487037905124, 58.385830016122505, 60.0403777741274, 59.409455766587, 59.804378354654, 58.7517521600889, 58.186806903243294, 59.202615243326704, 59.3983302015415, 59.405016529015896, 58.5675847426821, 59.904630501880895, 62.305716828907, 62.1267985458384, 63.738974570399506, 63.5953646018466, 64.7752921231111, 63.4192208265075, 64.0957882145872, 64.7843391639708, 63.615285413967506, 61.8022111100803, 63.2835413526225, 66.0467132457531, 66.42817358020329, 65.78012875150691, 65.7336868039663, 65.4634894531543, 65.8602668858346, 65.5708137879237, 65.6024875629149, 67.5851614753461, 67.7756132146565]"
SBL#Fujian / 福建,2,0,"[51.675618410373495, 52.7353704853382, 53.408739515415895, 55.6223279127428, 54.248715896882295, 54.12939422318279, 53.26727114882111, 53.8191267358207, 53.234779580120794, 53.0289096695096, 52.1085559215394, 51.912750333953, 51.783944684129, 54.687280352021, 55.30125737816461, 55.100245979022, 58.0479936818833, 57.1559964978005, 57.19306974628451, 57.3190886093159, 55.6108341087159, 55.93013806002521, 53.9887207069207, 54.350601685285795, 56.344085010761994, 56.226759729002104, 57.36328556089371, 57.643129785768004, 60.0336963205841, 60.1379250462138, 58.924730414646994, 58.656279920438, 58.7280110522521, 58.2554493038639, 58.2244528067765]"
SBL#Guangdong East / 广东-东,2,1,"[34.1957178691133, 33.3641915184017, 33.7929314292076, 33.845987585417106, 35.6211110775097, 36.3792713922177, 36.630887126724794, 36.6222631505387, 37.5175481577473, 37.4730884153393, 38.076699575447996, 38.1991881571752, 37.924537341806996, 37.8844209494449, 37.4219035905601, 38.6239640652727, 38.094772867247, 38.660119583100794, 38.5566097979612, 39.0862364023661, 38.7742059972263, 39.068855973606404, 39.2449905245816, 38.961941615552895, 38.8582420801862, 39.62239337519671, 39.726084723018204, 39.244646881995, 40.2740273184789, 41.2016928312361, 41.2857005210228, 41.6380260211253, 42.638580706317896, 40.602304826533704, 40.4545987830719]"
SBL#Guangdong West / 广东-西,2,2,"[43.3834331385456, 42.4316899028441, 42.5219808595727, 42.9030982461855, 45.028186648990605, 44.4055764267805, 44.2218199973823, 44.2363280321491, 44.1118043929617, 44.2755267227244, 44.0633264059422, 43.4823420197946, 44.1784146984206, 44.355733455220204, 44.6527648573606, 46.3773512510377, 46.3775012492443, 47.1278971600842, 47.7192035425528, 46.491767531379004, 46.4375234387751, 46.85378343782779, 45.1662626927046, 46.5643061852167, 45.6784313461631, 45.9949214638246, 45.276074569714794, 44.9831018391251, 44.819125249239505, 45.008272392549294, 44.9493576806556, 45.575104307248495, 45.4779994569396, 46.119304345008004, 44.65207982292671]"
SBL#Henan / 河南,2,0,"[50.2938863457319, 51.617454759276, 51.856632324588794, 51.7177540232839, 52.2194052081384, 51.9595388200814, 52.026879623183206, 52.7712923947095, 53.1252181276806, 54.2055307318316, 52.3725389734965, 51.450343922036296, 52.44807470931789, 53.7841615321128, 54.8461700856585, 55.4556310507191, 54.863811337096, 54.526012951347504, 55.087006324365, 54.5167337003407, 56.2457132769283, 55.8107784720608, 54.8641653475871, 54.2546136990121, 56.0356227113957, 56.956895288071095, 55.815412110965006, 56.302074103123296, 56.108685355603, 56.3480569789061, 56.3824452943562, 56.162326635074905, 57.3443574577671, 57.3655520188163, 56.3323225043612]"
SBL#Jiangsu / 江苏,2,0,"[50.2800161759373, 51.695066470482395, 51.6746453946323, 52.3670463084914, 52.2224112504101, 52.1625000335118, 53.7238477221061, 53.031602475216, 52.0140964047298, 52.210556113375, 51.4865725668554, 51.940020883518706, 51.0908299868245, 52.8520124033269, 53.4883689448585, 54.6511513893305, 54.3733088400272, 54.7435276907507, 55.6638952678754, 54.791770091484004, 55.3093252669097, 56.351496755282604, 55.2043515296163, 55.534363623744106, 56.083573210015004, 56.041119434148705, 55.5341855918851, 56.0330227335924, 56.345362992485796, 57.0472020659186, 55.79536212013571, 55.9874475731953, 56.3055934278876, 56.096185583752, 57.71252387356181]"
SBL#Shaanxi / 陕西,2,0,"[49.519575422292995, 51.3279101236967, 50.616797806259996, 50.1137232880184, 50.704746978607204, 49.585574777324894, 50.531084873192796, 51.5583200299093, 51.4193280714217, 50.763392206491496, 49.5985681183113, 50.75314389554671, 51.5914211478221, 52.721052033086394, 53.186005658555295, 54.688276715777995, 55.5063633152356, 54.497412415013294, 54.9794308656643, 55.3853878669686, 56.2433227647567, 56.0120819561491, 55.0118131538248, 55.0563973574856, 55.72620215306151, 55.676364495330105, 56.0686439680058, 56.469687160194304, 55.4101306698921, 54.724473715183, 53.5696512408576, 57.941914434717795, 59.090865632287596, 60.1651662187196, 60.242962748806704]"
SBL#Zhejiang / 浙江,2,0,"[53.4303428315628, 53.3485743663021, 54.10635430704579, 54.0917219850803, 52.8860886889709, 53.836185507012, 54.871294353268496, 54.5222931910332, 54.5419634430502, 54.860221008203204, 54.7408947238943, 55.4250970269121, 55.324219351399705, 55.7535471157924, 56.0998209606164, 56.774904869100105, 56.9803312378286, 56.1111805042541, 56.38390163645929, 56.123741215872606, 56.68044088637421, 56.800247756512604, 55.7847198016252, 55.7338464584459, 55.8623751858532, 56.07551090144071, 58.028172731226206, 58.841697111292106, 59.0208580753419, 57.995961995647, 59.7157842189722, 59.256710029398604, 59.67394498679971, 61.5647046822143, 61.369207523771905]"
Zhuhai#Zhuhai / 珠海,2,0,"[51.5812199625036, 51.389457325383994, 52.0611139009576, 51.442934508035094, 52.154988440121095, 52.227079499363796, 52.754917822283794, 52.931145002097, 53.98746477054279, 53.74773795632179, 53.6810675854337, 53.818169458693895, 52.856903521065504, 53.939858538856, 52.7180372833898, 52.88295893971021, 54.5153713686977, 54.851306127068796, 55.6621801636472, 54.827622621995296, 54.3856612752043, 55.56444007084661, 55.1494424008886, 54.6026138360824, 56.9247506227157, 57.090130070600395, 56.1299296883921, 55.739616665130704, 56.0454284618051, 57.5161042525548, 57.244112833115, 56.95666066513571, 57.1901355938668, 58.79207610067579, 58.974165980808806]"
